Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number, Amount  
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,"Purchase of Equipment < £3,000",Energy Markets & Infrastructure - Energy Strategy and Futures,INSIGHT DIRECT (UK) LTD,4023785,"2,964.88"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",AEA TECHNOLOGY plc,4023787,"48,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ABP MARINE ENVIRONMENTAL RESEARCH LTD,4023788,"19,990.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Economic Consultancy & Research,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,ABP MARINE ENVIRONMENTAL RESEARCH LTD,4023788,"19,900.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,KATALYSIS LTD,4023789,"22,601.97"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Economic Consultancy and Research,Corporate Support & Shared Services - Corporate Support & Shared Services,KATALYSIS LTD,4023789,"11,200.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,KATALYSIS LTD,4023789,"17,101.51"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Car Hire and Leasing,DECC Private Office Group - DECC Private Office Group,GOVERNMENT CAR AND DESPATCH AGENCY,4023793,"1,258.38"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023796,553.56
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),DECC Private Office Group - DECC Private Office Group,MANPOWER UK LTD,4023798,965.34
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,ANDREW SENTANCE,4023799,"1,250.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Nuclear Development,OFFICE ANGELS LTD,4023802,648.46
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Other External Recruitment Costs (Staff),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,INTERNATIONAL RESOURCES GROUP LTD T/A ODGERS BERNDTSON,4023803,"5,500.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Stationery,Corporate Support & Shared Services - Corporate Support & Shared Services,OFFICE DEPOT UK LTD,4023809,"1,343.42"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Payment for Shared Services - Programme,Energy & Climate Change International - International Climate Change Negotiations,FOREIGN AND COMMONWEALTH OFFICE (FCO),4023810,"50,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Contributions (Programme),Energy & Climate Change International - International Climate Change Negotiations,FOREIGN AND COMMONWEALTH OFFICE (FCO),4023810,"22,929.92"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Other Training Costs,Energy Markets & Infrastructure - Security and resilience,PILAT HR SOLUTIONS,4023812,900
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,KAPLAN FINANCIAL LTD,4023813,600
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Maintenance of IT Equipment,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4023814,"48,754.51"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4023814,"22,078.72"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4023814,"5,385.58"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4023814,"4,099.74"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Application Support Service,Energy Markets & Infrastructure - Energy Development Unit,FUJITSU SERVICES LTD,4023815,"1,553.49"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Standard Desktop Services,Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4023816,"130,974.94"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Standard Desktop Plus Service (PFI),Corporate Support & Shared Services - Corporate Support & Shared Services,FUJITSU SERVICES LTD,4023820,"2,729.03"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Corporate Support & Shared Services - Corporate Support & Shared Services,GHK CONSULTING LTD,4023824,"7,498.25"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF EXETER,4023825,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,NATURAL RESOURCES INSTITUTE (UNIVERSITY OF GREENWICH),4023826,"10,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Capital Grants to Private Sector - Own Asset Creation,Energy Markets & Infrastructure - Energy Strategy and Futures,ENERGY OPTIMIZERS LTD,4023827,"11,510.02"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Translation Services (Programme),Energy Markets & Infrastructure - Security and resilience,FCO SERVICES,4023828,"2,632.60"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Publications (Programme),Energy Markets & Infrastructure - Security and resilience,COI COMMUNICATIONS,4023829,"12,238.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,BUILDING PERFORMANCE CENTRE (EDINBURGH NAPIER UNIVERSITY),4023830,"20,000.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023831,778
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Outsourced Technical Support (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023831,"8,168.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,FORESTRY COMMISSION,4023832,"147,300.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,DO NOT USE Grants - Non Statutory - Current - Other,National Climate Change & Consumer Support - Energy Efficiency & Consumers,EAST HAMPSHIRE DISTRICT COUNCIL,4023836,"122,956.10"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,OFFICE ANGELS LTD,4023837,576.88
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Outsourced Programme Management Services,Energy Markets & Infrastructure - Energy Development Unit,MARITIME AND COASTGUARD AGENCY MCA,4023840,"32,682.66"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,MET OFFICE,4023846,"293,053.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,AEA TECHNOLOGY plc,4023849,"5,440.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4023852,"121,076.52"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4023853,"7,049.99"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4023853,"1,717.57"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Insolvency Service Policy Work,Corporate Support & Shared Services - Corporate Support & Shared Services,DEFRA,4023853,"3,750.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4023855,"3,600.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Research & Development Expenditure (Programme),Science & Innovation Group - Science & Innovation Group,CAMBRIDGE ARCHITECTURAL RESEARCH LTD,4023856,"100,237.50"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,4023857,"2,688.02"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4023862,"9,709.68"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,External Legal Advice,Energy Markets & Infrastructure - Office of Nuclear Development,SLAUGHTER AND MAY,4023863,"7,128.48"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Public Relations & Marketing Advice & Services,Energy Markets & Infrastructure - Office of Nuclear Development,MWH UK LTD,4023864,"5,459.26"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Research & Development Expenditure (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,HETAS LTD,4023866,"29,950.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4023867,"31,822.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/30/2011 ,Other Miscellaneous Expenditure,National Climate Change & Consumer Support - Energy Efficiency & Consumers,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4023868,"50,538.00"
Department of Energy and Climate Change,Department of Energy and Climate Change,03/31/2011 ,Public Relations & Marketing Advice & Services,Energy Markets & Infrastructure - Office of Nuclear Development,MWH UK LTD,4023869,"3,901.78"
