VENUE_NAME,ADDRESS_LINE_1,POST_TOWN,COUNTY,POST_CODE,NEW_DISTRICT_COUNCIL,EASTING,NORTHING,TELEPHONE,OWNERSHIP_TYPE,ADVENTURE_SPORT,ATHLETICS,BOWLING,BOXING,CRICKET,FITNESS,GOLF,MOTORSPORT,SWIMMING,SQUASH_HANDBALL,TENNIS,SPORTS_HALL,WATERSPORTS,MOUNTAIN_BIKING,PITCHES_GRASS,PITCHES_WATER,PITCHES_THIRD_GEN,PITCHES_SAND
Ballycastle High School,Rathlin Road,Ballycastle,Antrim,BT54 6LD,Causeway Coast and Glens District,311488,441055,028 2076 2254,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballycastle Primary School,Quay Road,Ballycastle,Antrim,BT54 6BJ,Causeway Coast and Glens District,311978,441022,028 2076 2496,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballycastle Tennis Complex,Mary Street,Ballycastle,Antrim,BT54 6LL,Causeway Coast and Glens District,309768,441702,028 2076 3022,District Council,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Ballyclare Golf Club,Springvale Road,Ballyclare,Antrim,BT39 9JW,Antrim and Newtownabbey District,326912,393318,028 9332 2696,Club,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Ballyclare High School,Rashee Road,Ballyclare,Antrim,BT39 9HJ,Antrim and Newtownabbey District,328584,391461,028 9332 2244,Education,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Ballyclare Nursery School,Grange Drive,Ballyclare,Antrim,BT39 9ey,Antrim and Newtownabbey District,328012,391289,028 9335 2982,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballyclare Primary School,Doagh Road,Ballyclare,Antrim,BT39 9BG,Antrim and Newtownabbey District,328674,391135,028 9332 2389,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballyclare Secondary School,Doagh Road,Ballyclare,Antrim,BT39 9BG,Antrim and Newtownabbey District,328646,390991,028 9332 2610,Education,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Ballycraigy Primary School,Bracken Avenue,Muckamore,Antrim,BT41 1PU,Antrim and Newtownabbey District,316733,385833,028 9446 2450,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballyculter Motor Cycle Racing,Ballyculter Road,Strangford,Down,BT30 7BD,"Newry City, Mourne and Down District",355201,345972,,Club,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Ballydougan Indoor Bowling Club,Upper Ballydugan Road,Portadown,Down,BT63 5NU,"Armagh City, Banbridge and Craigavon District",306898,353147,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballydown Primary School,Lisnaree Road,Banbridge,Down,BT32 4JN,"Armagh City, Banbridge and Craigavon District",314334,346458,028 4066 2738,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballydrain Harriers,Ballydrain,Comber,Down,BT23 6EA,North Down and Ards District,349605,366547,,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyduff Community Centre,Forthill Drive,Newtownabbey,Antrim,BT36 6QR,Antrim and Newtownabbey District,333146,384264,,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyearl Arts and Leisure Centre,Doagh Road,Newtownabbey,Antrim,BT36 5RZ,Antrim and Newtownabbey District,331533,385645,028 9084 8287,District Council,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No
Ballyfatten Park,Meadown Crescent,Strabane,Tyrone,BT82 9QG,Derry City and Strabane District,233776,393442,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballygalet GAC,Ballygalget Road,Portaferry,Down,BT22 1JX,North Down and Ards District,362305,354498,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballygawley Playing Fields,Main Street,Ballygawley,Tyrone,BT70 2HE,Mid Ulster District,263062,357478,,District Council,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No
Ballygawley Primary School,Oold Omagh Road,Ballygawley,Tyrone,BT70 2EZ,Mid Ulster District,262659,357769,028 8556 8646,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballygawley Sports Trust,Main Street,Dungannon,Tyrone,BT70 2HD,Mid Ulster District,263086,357484,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballygolan Primary School,Serpentine Road,Newtownabbey,Antrim,BT36 7HB,Belfast City,333860,379855,028 9037 0091,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyhackett Primary School,Altikeeragh Road,Castlerock,Londonderry,BT51 4SR,Causeway Coast and Glens District,275491,433025,028 7084 8476,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballyhegan Davitts GAC,Kilmacanty Road,Ballyhegan,Armagh,BT61 8NH,"Armagh City, Banbridge and Craigavon District",292685,351503,028 3889 1555,Club,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballyholland Harps GAC,Bettys Hill Road,Newry,Down,BT34 2ND,"Newry City, Mourne and Down District",310317,325420,028 3026 6985,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballyholland Primary School,Bettys Hill Road,Newry,Down,BT34 2ND,"Newry City, Mourne and Down District",311540,324131,028 3026 3763,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyholme Yacht Club,Seacliff Road,Bangor,Down,BT20 5HT,North Down and Ards District,351426,382358,028 9127 1467,Club,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Ballykeel Community Centre,Crebilly Road,Ballymena,Antrim,BT42 4DN,Mid and East Antrim District,311978,402621,028 2563 8129,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballykeel Primary School,Crebilly Road,Ballymena,Antrim,BT42 4DN,Mid and East Antrim District,311978,402621,028 2565 3902,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballykelly Moto Cross,Limavady Road,Ballykelly,Londonderry,BT49 9JX,Causeway Coast and Glens District,263463,422325,,Club,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Ballykelly Primary School,Glenhead Road,Ballykelly,Londonderry,BT49 9JS,Causeway Coast and Glens District,262988,422194,028 7776 2864,Education,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballykinlar GAC,Commons Road,Ballykinlar,Down,BT30 8DE,"Newry City, Mourne and Down District",343332,338013,028 4485 1652,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballyknock Riding Centre,Ballyknock Road,Hillsborough,Down,BT26 6EF,Lisburn and Castlereagh District,319306,357619,028 9269 2144,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballymacarrett Recreation Centre,Connswater Street,Belfast,Antrim,BT4 1SX,Belfast City,336326,374408,028 9045 8828,District Council,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballymacash Primary School,Brokerstown Road,Lisburn,Antrim,BT28 2EE,Lisburn and Castlereagh District,324222,365771,028 9266 4244,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballymacnab Round Towers GFC,Newtownhamilton Road,Tassagh,Armagh,BT60 2QT,"Armagh City, Banbridge and Craigavon District",288845,338718,028 3753 1126,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballymacoss Playing Fields,Limetree Avenue,Lisburn,Antrim,BT28 2XY,Lisburn and Castlereagh District,324232,364474,,District Council,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballymacrickett Primary School,Scroggy Road,Glenavy,Antrim,BT29 4NE,Lisburn and Castlereagh District,315001,371582,028 9442 2708,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballymacward Primary School,Rock Road,Lisburn,Antrim,BT28 3SU,Lisburn and Castlereagh District,322552,371619,028 9264 8130,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballymartin GAC,Pats Road,Newry,Down,BT34 4NX,"Newry City, Mourne and Down District",333587,315794,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballymena Academy,Galgorm Road,Ballymena,Antrim,BT42 1AJ,Mid and East Antrim District,309656,403253,028 2565 2782,Education,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Ballymena Bowling Club,Old Ballymoney Road,Ballymena,Antrim,BT43 6LX,Mid and East Antrim District,310424,404203,028 2565 3605,Club,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballymena Golf Club,Raceview Road,Ballymena,Antrim,BT42 4HY,Mid and East Antrim District,313706,405429,028 2586 1487,Club,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No
Ballymena North Business & Recreation Centre,Cushendall Rd,Ballymena,Antrim,BT43 6HB,Mid and East Antrim District,310957,404971,028 2544 1255,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballymena Primary School,Ballymoney Road,Ballymena,Antrim,BT43 5BX,Mid and East Antrim District,310216,404092,028 2565 6282,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballymena RFC and Cricket Grounds,Raceview Road,Ballymena,Antrim,BT42 4HU,Mid and East Antrim District,312793,404966,028 2565 6746/2565 3903,Club,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballymena Sea Cadets,Railway Street,Ballymena,Antrim,BT42 2AF,Mid and East Antrim District,310519,402559,028 2564 4254,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballymena Showgrounds,Warden Street,Ballymena,Antrim,BT43 7DR,Mid and East Antrim District,311334,403845,028 2563 8510,District Council,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes
Ballymena Sportsbowl,Wakehurst Road,Ballymena,Antrim,BT42 3AZ,Mid and East Antrim District,310913,402418,028 25644144,Private,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballymoney High School,Garryduff Road,Ballymoney,Antrim,BT53 7AN,Causeway Coast and Glens District,295665,425566,028 2766 2361,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Ballymoney Model Primary School,North Road,Ballymoney,Antrim,BT53 6BW,Causeway Coast and Glens District,294319,425968,028 2766 2340,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballymoney Outdoor Bowling Club,Church Street,Ballymoney,Antrim,BT53 6HS,Causeway Coast and Glens District,294924,425785,,Club,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballymoney RFC,Kilraughts Road,Ballymoney,Antrim,BT53 7HL,Causeway Coast and Glens District,296512,426093,028 2766 2991,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballymoney Showgrounds,Charlotte Street,Ballymoney,Antrim,BT53 6AZ,Causeway Coast and Glens District,294380,425731,028 2766 5831,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballymote Centre,Killough Road,Downpatrick,Down,BT30 6PY,"Newry City, Mourne and Down District",349137,343136,028 4461 2311,Community,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballynahinch Community Centre,Windmill Street,Ballynahinch,Down,BT24 8HB,"Newry City, Mourne and Down District",336809,352451,,Community,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballynahinch Riding Centre,Ballycreen Road,Ballynahinch,Down,BT24 8TZ,"Newry City, Mourne and Down District",334575,354264,028 9756 2883,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballynahinch United,Newcastle Road,Ballynahinch,Down,BT24 8NF,"Newry City, Mourne and Down District",339390,347559,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballynahincy Primary School,Croob Park,Ballynahinch,Down,BT24 8BB,"Newry City, Mourne and Down District",336190,352080,028 9756 3171,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballynease Primary School,Culbane Road,Portglenone,Antrim,BT44 8NZ,Mid Ulster District,297042,400820,028 2582 1868,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballynure Primary School,Lismenary Road,Ballynure,Antrim,BT39 9UF,Antrim and Newtownabbey District,331649,393606,028 9332 3113,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyoran Centre,Rosneath Gardens,Ballybeen,Down,BT16 1UN,Lisburn and Castlereagh District,343320,373723,028 9041 0822,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyoran Primary School,Ballyoran Park,Portadown,Armagh,BT62 1JY,"Armagh City, Banbridge and Craigavon District",300471,354910,028 3835 2009,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyreagh Golf Course,Ballyreagh Road,Portrush,Londonderry,BT56 8LX,Causeway Coast and Glens District,284201,439661,028 6582 2028,District Council,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Ballyronan Marina,Shore Road,Ballyronan,Londonderry,BT45 6JG,Mid Ulster District,294691,384405,028 7941 8399,District Council,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Ballysally Playing Fields,Ballysally Road,Coleraine,Londonderry,BT52 2QA,Causeway Coast and Glens District,285426,434498,028 7035 5122,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballysally Primary School,Dane's Hill Road,Coleraine,Londonderry,BT52 2QU,Causeway Coast and Glens District,285441,434064,028 7035 2962,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No
Ballysally Youth and Community Centre,Ballysally Road,Coleraine,Londonderry,BT52 2QA,Causeway Coast and Glens District,285454,434413,028 7035 5122,Community,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballysillan Leisure Centre,Ballysillan Road,Belfast,Antrim,BT14 7QQ,Belfast City,331166,376839,028 9091 8731,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,No
Ballysillan Playing Fields,Ballysillan Road,Belfast,Antrim,BT14 7QQ,Belfast City,331166,376839,028 9032 0202,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballysillan Playing Fields,Ballysillan Road,Belfast,Antrim,BT14 7QP,Belfast City,330929,376665,028 9032 0202,District Council,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballysillan Primary School,Ballysillan Park,Belfast,Antrim,BT14 8LT,Belfast City,331133,377910,028 9039 1668,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballyspallen Cricket Club,Broiter Road,Limavady,Londonderry,BT49 9DY,Causeway Coast and Glens District,264780,425155,028 7776 4445,Club,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
Ballytober Primary School,Priestland Road,Bushmills,Antrim,BT57 8UR,Causeway Coast and Glens District,292138,438520,028 2073 1404,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballywalter Bowling Club,Springfield Road,Ballywalter,Down,BT22 2PE,North Down and Ards District,362834,368226,028 4275 8874,Club,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballywalter Football Club,Well Road,Ballywalter,Down,BT22 2PU,North Down and Ards District,362715,369081,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Ballywalter Primary School,STUMP Road,Ballywalter,Down,BT22 2NT,North Down and Ards District,362671,369227,028 4275 8486,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Ballywalter Tennis Club,Ballywalter Park,Ballywalter,Down,BT22 2PE,North Down and Ards District,362868,368522,,District Council,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Ballywooley Playing Fields,Crawfordsburn Road,Bangor,Down,BT20 3QT,North Down and Ards District,348836,381527,,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Balmoral Bowling Club,Belvoir Drive,Castlereagh,Down,BT8 7DT,Belfast City,333796,369010,028 9064 0433,Private,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Balmoral Golf Club,Lisburn Road,Belfast,Antrim,BT9 6GX,Belfast City,331436,370508,028 9038 1514,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Balmoral High School,Blacks Road,Belfast,Antrim,BT10 0NB,Belfast City,329611,369891,028 9030 1578,Education,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Balnamore Primary School,Balnamore Road,Ballymoney,Antrim,BT53 7PT,Causeway Coast and Glens District,291828,425118,028 27664564,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Banagher Equestrian Centre,Glenedra Road,Londonderry,Londonderry,BT47 4TP,Causeway Coast and Glens District,264670,404133,028 7778 1117,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Banbridge Academy,Lurgan Road,Banbridge,Down,BT32 4AQ,"Armagh City, Banbridge and Craigavon District",312475,346730,028 4062 3220,Education,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Banbridge Boxing Club,Scarva Road,Banbridge,Down,BT32 3AS,"Armagh City, Banbridge and Craigavon District",311789,345978,,Private,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Banbridge Golf Club,Huntly Road,Banbridge,Down,BT32 3UR,"Armagh City, Banbridge and Craigavon District",311748,347103,028 4066 2211,Private,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Banbridge High School,Newry Road,Banbridge,Down,BT32 3EW,"Armagh City, Banbridge and Craigavon District",312089,345364,028 4062 2471,Education,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,No
Banbridge Leisure Centre,Downshire Road,Banbridge,Down,BT32 3JY,"Armagh City, Banbridge and Craigavon District",312592,346224,028 4062 8800,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No
Banbridge Rugby Club,Ardery's Lane,Banbridge,Down,BT32 3RH,"Armagh City, Banbridge and Craigavon District",312436,345097,028 4066 2214,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Banbridge Weight Training Club,Downshire Road,Banbridge,Down,BT32 3JY,"Armagh City, Banbridge and Craigavon District",312624,346101,,District Council,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Bangor Academy and 6th Form College,Castle Campus,Bangor,Down,BT20 4TB,North Down and Ards District,350675,381417,028 9127 0535,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes
Bangor Amateur Football Club,Clandeboye Road,Bangor,Down,BT20 3JT,North Down and Ards District,349507,380676,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Bangor Aurora Aquatic and Leisure Complex,Valentine Road,Bangor,Down,BT20 4TH,North Down and Ards District,,,028 9127 0271,District Council,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes
Bangor Golf Club,Broadway,Bangor,Down,BT20 4RH,North Down and Ards District,351334,381619,028 9127 0922,Club,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Bangor Grammar School,College Avenue,Bangor,Down,BT20 5HJ,North Down and Ards District,351086,382142,028 9147 3734,Education,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes
Bangor Lawn Tennis Club,Farnham Park,Bangor,Down,BT20 3SR,North Down and Ards District,349590,381769,,Club,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
Bangor Sportsplex,Old Belfast Road,Bangor,Down,BT19 1RE,North Down and Ards District,347961,380439,028 9127 5622,District Council,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes
Castlewellan GAC,Bann Road,Castlewellan,Down,BT31 9AD,"Newry City, Mourne and Down District",329917,336514,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Bann Rowing Club,Hanover Place,Coleraine,Londonderry,BT52 1EB,Causeway Coast and Glens District,284659,432249,028 7034 2520,Club,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No
Barbour Memorial Playing Fields,Ballynahinch Road,Lisburn,Antrim,BT27 5EY,Lisburn and Castlereagh District,327204,363805,,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Barcroft Community Centre,Dorans Hill,Newry,Down,BT35 8PQ,"Newry City, Mourne and Down District",307865,326117,028 3026 7803,District Council,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Barkston Equestrian Centre,Cloghanramer Road,Newry,Down,BT34 1QG,"Newry City, Mourne and Down District",308855,330558,028 302 5265,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Barnfield Sports Complex,Carrickfergus Leisure Centre,Carrickfergus,Antrim,BT38 7HP,Mid and East Antrim District,341523,387961,028 9336 4747,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes
Barnish Primary School,Cushendall Road,Ballycastle,Antrim,BT54 6QY,Causeway Coast and Glens District,315311,440717,028 2076 2495,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Barrack Street Boys Primary School,Barrack Street,Strabane,Tyrone,BT82 8HE,Derry City and Strabane District,234834,397492,028 7138 2614,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Barry Hamill Golf Academy,Mulnagore Road,Cookstown,Tyrone,BT80 9BS,Mid Ulster District,276795,370232,,Private,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No
Bawnacre Centre,Castle Street,Irvinestown,Fermanagh,BT94 1EE,Fermanagh and Omagh District,223733,358061,028 6862 1177,District Council,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes
Beeches Equestrian Centre,Ballycorr Road,Ballyclare,Antrim,BT39 9DF,Antrim and Newtownabbey District,329522,392432,028 9335 2441,Private,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Beechfield Primary School,Beechfield Street,Belfast,Down,BT5 4EQ,Belfast City,335486,374218,028 9045 7966,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Beechlawn Special School,Dromore Road,Hillsborough,Down,BT26 6PA,Lisburn and Castlereagh District,324159,358353,028 92682302,Education,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
Beechway Playing Fields,Old Coach Road,Cookstown,Tyrone,BT80 8LQ,Mid Ulster District,281420,378843,028 8676 7135,District Council,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
Belcoo O'Rahilly's GAC,Mac Nean Playing Fields,Enniskillen,Fermanagh,BT93 5DA,Fermanagh and Omagh District,208207,338917,,Club,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No
