Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, 
Department of Energy and Climate Change,Department of Energy and Climate Change,21/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,ADECCO UK LTD,4013196, £745 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Computer Consumables,Corporate Support & Shared Services - Corporate Support & Shared Services,XMA LTD,4013227," £2,189 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),National Climate Change & Consumer Support - Communications,XCHANGETEAM GROUP LTD,4013220, £867 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Technical Support,National Climate Change & Consumer Support - National Climate Change,SINCLAIR KNIGHT MERZ EUROPE LTD,4013024," £21,042 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4013203," £2,679 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4013202," £2,679 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4013204," £1,363 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - DECC Commercial Team,Reed Personnel Services Ltd,4013204," £1,316 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Professional/Management),Corporate Support & Shared Services - Corporate Support & Shared Services,PENNA plc,4013242," £12,902 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Static Line Rental,Corporate Support & Shared Services - Corporate Support & Shared Services,OGC BUYING SOLUTIONS,4013264," £7,889 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4013245," £367,953 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Outsourced Programme Management Services,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4013245," £195,297 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Technical Advice,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4013223," £42,124 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Technical Advice,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,OFFICE OF GAS AND ELECTRICITY MARKETS [OFGEM],4013226," £32,663 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,External Training,Energy Markets & Infrastructure - Energy Development Unit,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4013250, £865 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,External Training,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4013233, £805 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,External Training,Corporate Support & Shared Services - Corporate Support & Shared Services,NATIONAL SCHOOL OF GOVERNMENT (CMPS),4013258, £590 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,External Training,Energy Markets & Infrastructure - Office of Nuclear Development,NATIONAL SCHOOL OF GOVERNMENT,4012150," £1,390 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4013249," £678,597 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Cash Expenditure during the Year - Other Health Related Provisions,Energy Markets & Infrastructure - Energy Development Unit,NABARRO,4013249," £1,951 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Professional/Management),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,MORGAN HUNT PUBLIC SECTOR LTD,4013236," £1,381 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Telecomms Equipment,Corporate Support & Shared Services - Corporate Support & Shared Services,MEDIA & COMMUNICATIONS LTD T/A BEST4SYSTEMS,4013217, £599 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,IBM UNITED KINGDOM LTD,4013247," £3,917 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013060," £1,410 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013060," £1,380 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013066," £1,058 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013065," £1,058 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013064," £1,058 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013057," £1,058 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013063," £1,058 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,HAYS SPECIALIST RECRUITMENT LTD,4013061," £1,058 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Taxis Overseas,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,FOREIGN AND COMMONWEALTH OFFICE (FCO),4013237," £1,317 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Taxis Overseas,Ministerial Team and Parliamentary Support - Ministerial Team & Parliamentary Support,FOREIGN AND COMMONWEALTH OFFICE (FCO),4013237," £1,317 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Research & Development Expenditure (Programme),National Climate Change & Consumer Support - National Climate Change,ENTEC UK LTD,4013214," £1,414 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hospitality - UK,Energy Markets & Infrastructure - Energy Strategy and Futures,COMMONWEALTH CLUB LTD,4013193, £831 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hospitality - UK,Energy Markets & Infrastructure - Energy Strategy and Futures,COMMONWEALTH CLUB LTD,4013193, £787 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Child Care,Corporate Support & Shared Services - Corporate Support & Shared Services,CHILDCARE VOUCHERS LTD (ACCOR SERVICES),4013200," £2,876 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Printing (Programme),Energy Markets & Infrastructure - Office of Nuclear Development,CATS SOLUTIONS LTD,4013244," £1,965 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Corporate Support & Shared Services - Corporate Support & Shared Services,BROOK STREET (UK) LTD,4013224, £930 
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office of Carbon Capture and Storage,BLACK & VEATCH LTD,4013201," £10,438 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Technical Advice / Services & Support,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,AEA TECHNOLOGY ENVIRONMENT,4013243," £1,181 "
Department of Energy and Climate Change,Department of Energy and Climate Change,22/04/2010,Hire of Agency Staff (Clerical/Secretariat/Other),Energy Markets & Infrastructure - Office of Carbon Capture and Storage,ADECCO UK LTD,4013210, £870 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,Secondees (not paid directly),Science & Innovation Group - Science & Innovation Group,UNIVERSITY OF CAMBRIDGE,4013260," £11,921 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,Grants - Non Statutory - Current - Other,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,THE NATIONAL NON-FOOD CROPS CENTRE,4013293," £200,000 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,External Training,Energy Markets & Infrastructure - Energy Development Unit,RIVIERA MARITIME MEDIA LTD,4013297, £950 
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,Consultancy Advice Provided From Third Parties,"National Climate Change & Consumer Support - Smart Meters, Distributed Energy and Fuel Poverty",QUO IMUS LTD T/A QI CONSULTING,4013262," £2,635 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,Business Management Advice,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4013191," £56,034 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4013191," £21,990 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,Outsourced Programme Management Services,Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4013191," £3,522 "
Department of Energy and Climate Change,Department of Energy and Climate Change,23/04/2010,Outsourced Technical Support (Programme),Energy Markets & Infrastructure - Office for Renewable Energy Deployment,PERA INNOVATION LTD,4013191," £2,466 "
