Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,500.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,650.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,03/08/2012,Travel and Subsistence O'seas - Market Visit Scheme,Trade Development - UK Trade and Investments,WEST MIDLANDS INTERNATIONAL TRADE LLP,163790,750.00 ,,B15 3DH,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Other Transportation Hire - Ministerial Events,Strategic Trade - UK Trade and Investments,GALLEON TRAVEL 2009 LTD,163379,750.00 ,,EN9 2DH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Other Transportation Hire - Ministerial Events,Strategic Trade - UK Trade and Investments,GALLEON TRAVEL 2009 LTD,163380,695.00 ,,EN9 2DH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Other Transportation Hire - Ministerial Events,Strategic Trade - UK Trade and Investments,GALLEON TRAVEL 2009 LTD,163381,27.24 ,,EN9 2DH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Other Transportation Hire - Ministerial Events,Strategic Trade - UK Trade and Investments,GALLEON TRAVEL 2009 LTD,163381,695.00 ,,EN9 2DH,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,Oliver Smith & Partners Ltd,163717,9139.01 ,,SW4 7BX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Advertising - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,Oliver Smith & Partners Ltd,163718,4453.24 ,,SW4 7BX,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,IT Managed Service Contracts - Online,Marketing & Communications - UK Trade and Investments,CAKE SOLUTIONS LTD,163721,7056.00 ,,SK5 6DA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,IT Managed Service Contracts - Online,Marketing & Communications - UK Trade and Investments,DECARE SYSTEMS IRELAND LTD,163779,3120.00 ,,,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Authoring and Copywriting Costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,BELLMAN MEDIA LTD,163780,7996.00 ,,TN34 1BG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Authoring and Copywriting Costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,BELLMAN MEDIA LTD,163786,271.00 ,,TN34 1BG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Authoring and Copywriting Costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,BELLMAN MEDIA LTD,163786,1800.00 ,,TN34 1BG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Authoring and Copywriting Costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,BELLMAN MEDIA LTD,163786,2493.00 ,,TN34 1BG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Basic Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),163791,7000.00 ,,WC1N 3AR,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Sponsors Grants - Trade Show Access Programme,Trade Development - UK Trade and Investments,UK FASHION AND TEXTILE ASSOCIATION LTD (UKFT),163793,4080.00 ,,WC1N 3AR,,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Event Management - Tech City,Investment Group - UK Trade and Investments,ANNETTE KRAMER T/A ANNETTE KRAMER CONSULTING,163794,1200.00 ,,NW3 3HN,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Other postage costs - Inward Investment Publications,Marketing & Communications - UK Trade and Investments,DAWSON MEDIA DIRECT LTD,163796,1000.00 ,,SL3 3AG,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ANDRICH INTERNATIONAL LTD,163798,5000.00 ,,BA12 8LJ,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Media and Press Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FARRAR MEDIA INTERNATIONAL LTD,163799,15000.00 ,,SW1E 6DY,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Travel and Subsistence O'seas - ,Defence and Security Organisation - UK Trade and Investments,EVENTS IN FOCUS LTD,163801,4074.89 ,,SE1 9EU,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Basic Grants - SESA Solo Support Scheme,Trade Development - UK Trade and Investments,ORCHARD FABRICS LTD,163802,1000.00 ,,SK3 0UD,EXT,,,Grants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Research and Development Costs - Inward Investment Publications,Investment Group - UK Trade and Investments,OXFORD INTELLIGENCE LTD,163803,11200.00 ,,MK17 0NA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Event Management - Sector Events - UK,Trade Development - UK Trade and Investments,ADECCO UK LTD,163805,373.88 ,,B37 7YE,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Catering - Tech City,Investment Group - UK Trade and Investments,LIMONCELLO (CATERER & DELICATESSEN) LTD,163808,161.05 ,,E1 6JU,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Other IT Services - UKIBC UK India Business Council,Strategic Trade - UK Trade and Investments,ALLAN WEBB LTD,163809,419.00 ,,GL10 3RF,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,"Other IT Services - UKTI Customer Data Standards, Migration and Mining",Chief Operating Officer - UK Trade and Investments,ALLAN WEBB LTD,163811,5825.88 ,,GL10 3RF,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Other IT Services - Inward Investment Research,Investment Group - UK Trade and Investments,ALLAN WEBB LTD,163812,95.50 ,,GL10 3RF,SME,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Venue Hire - Passport Development & Events,Trade Development - UK Trade and Investments,SCIENCE AND TECHNOLOGY FACILITIES COUNCIL,163819,255.00 ,,SN2 1FF,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,06/08/2012,Travel and Subsistence UK - Sector Events - Abroad,Trade Development - UK Trade and Investments,"Personal Expense, Name Witheld",505365,259.45 ,,SW1E 6SW,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Sector Events - UK,Chief Operating Officer - UK Trade and Investments,INNOVISION EVENTS LTD,162423,5271.24 ,,NW1 4PA,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162871,280.49 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Ministerial Events,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162874,111.58 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162875,1323.60 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162876,669.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162877,1394.81 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162878,256.64 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162879,10499.09 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162880,124.67 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162881,1442.54 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Media and Press Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162882,7645.46 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Car Hire and Leasing - ,Defence and Security Organisation - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162883,431.86 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162884,94.32 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162885,55.29 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162886,20.42 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Short Term Business Attachments (STBA),Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162887,3.93 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Fiscal Compass Programme,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162888,658.65 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Media and Press Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162889,375.34 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Courier Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162890,370.65 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Courier Services - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162891,197.92 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162891,3132.99 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162892,478.54 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Sector Events - Abroad,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162893,581.77 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Sector Events - Abroad,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162894,178.84 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Sector Events - Abroad,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162895,1594.13 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Inward Investment Publicity,Marketing & Communications - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162896,410.06 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Sector Events - Abroad,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162897,535.52 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162898,3137.25 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Outward missions,Trade Development - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),162899,1449.26 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Outsourced Technical Support - Sector Events - UK,Trade Development - UK Trade and Investments,MICHAEL PAGE INTERNATIONAL RECRUITMENT LTD,162977,1498.82 ,,SL1 1DB,,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Trade Development Support,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163189,30.49 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Trade Development Support,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163189,1000.00 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Event Management - Trade Development Support,Strategic Trade - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163190,1298.16 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163191,164.83 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163192,165.17 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Travel and Subsistence O'seas - Inward Investment Events,Investment Group - UK Trade and Investments,FOREIGN AND COMMONWEALTH OFFICE (FCO),163193,58.98 ,,MK10 1PX,GOV,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,07/08/2012,Scheme Management Charges - Passport Business Development Credits,Trade Development - UK Trade and Investments,SALES AND MARKETING MANAGEMENT LTD T/A THE INSTITUTE OF SALES & MARKETING (ISMM),163251,212.28 ,,LU1 4DQ,EXT,,,Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
