Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Current Grants To Private Sector - NPISH-Trade Show Access Programme,Trade Group - Partnerships & Business,ELECTRONIC EXPORTERS GROUP,76967,43500.00,,PO2 9HE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Professional Services-Mid-Sized Business Events,Trade Group - Service Delivery,ENTERPRISE GROWTH SOLUTIONS LTD,76968,4167.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,19/01/2015,Other Professional Services-Mid-Sized Business ITAs,Trade Group - Service Delivery,ENTERPRISE GROWTH SOLUTIONS LTD,76968,19778.00,,AL7 3AX,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,TRINCA FERRO,76973,1162.50,,SW11 2JW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Marketing - Design Services-Inward Investment Publicity,Marketing & Communications - Communications,THE TEAM BRAND COMMUNICATION CONSULTANTS LTD,76976,15555.00,,SE1 9EQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Professional Subscriptions-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,LIFE SCIENCESHUB WALES LTD,77020,600.00,,CF10 4PL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ALL ENGLISH THINGS LTD,77022,2058.00,,SO51 0HE,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Training And Development Expenditure-Other Programme Costs,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",CAPITA BUSINESS SERVICES LTD,77028,662.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Stationery-Other Programme Costs,Trade Group - Operations Directorate,BANNER BUSINESS SERVICES LTD,77039,408.48,,NR3 1QU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77040,1490.40,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Media and Design Services-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",RED STONE DESIGN LTD,77097,2870.00,,EC1M 7AN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Marketing - Design Services-Trade Marketing Publication,Defence and Security Organisation - Business Development,RED STONE DESIGN LTD,77098,743.75,,EC1M 7AN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,MORGAN HUNT UK LTD,77104,1356.00,,EC4M 7EG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,MORGAN HUNT UK LTD,77105,678.00,,EC4M 7EG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Sector Champions,"Investment Development - Managing Director & Operations, Investment Development",ERNST & YOUNG LLP,77106,17723.81,,SE1 2AF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Sector Champions,"Investment Development - Managing Director & Operations, Investment Development",ERNST & YOUNG LLP,77106,18800.00,,SE1 2AF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Sector Champions,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",ERNST & YOUNG LLP,77106,93128.52,,SE1 2AF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Uncapitalised construction costs-Sector Events - Abroad,"Managing Director, Policy and Network Development - Managing Director, Policy and Network Development",STAGE ONE CREATIVE SERVICES LTD,77108,505821.42,,YO26 7QF,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Corporate Event Management and Marketing-Investment - Sectors (Autumn Statement),Investment Development - Strategic Investment & Accounts,IIR LTD,77109,20400.00,,CO3 3LP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,IT Services-UKTI Programme Admin,Chief Operating Officer - IT and Finance,BAE SYSTEMS APPLIED INTELLIGENCE LTD,77110,49416.93,,GU2 7YP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,MORGAN HUNT UK LTD,77111,1084.80,,EC4M 7EG,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Bank Charges - Commercial Banks-Overseas Market Introduction Service,Trade Group - Service Delivery,STREAMLINE,77153,2.54,,NE8 1HJ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Bank Charges - Commercial Banks-Overseas Market Introduction Service,Trade Group - Service Delivery,STREAMLINE,77153,1230.98,,NE8 1HJ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Recruitment Consultancy Costs-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,GATENBY SANDERSON LTD,77181,8975.00,,LS1 2HL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Mandatory Induction Training-Other Programme Costs,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,77182,519.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Printing-Education UK,Trade Group - UKTI Education,STERLING PRESS LTD,77183,1724.00,,NN15 6XU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Recruitment Consultancy Costs-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,GATENBY SANDERSON LTD,77184,1300.00,,LS1 2HL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Rentals Under Non-PFI Operating Leases - Buildings-Other Programme Costs,Trade Group - Service Delivery,LONDON & PARTNERS LTD,77185,3240.00,,SE1 2RR,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Outsourced Programme Management-Attracting Global Entrepreneurs,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",GRANT THORNTON UK LLP,77186,24000.00,,NW1 2EP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,30/01/2015,Other Staff Costs-Other Programme Costs,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,77187,281.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Other Goods/Services-Inward Investment Research,Trade Group - Creative Industries & Global Sporting Projects,BLUE FOCUS INTERNATIONAL LTD,77188,4000.00,,.,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Professional Subscriptions-Other Programme Costs,Trade Group - Service Delivery,INSTITUTE OF DIRECTORS,77189,385.00,,SW1Y 5ED,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Printing-Education UK,Trade Group - UKTI Education,STERLING PRESS LTD,77190,2606.00,,NN15 6XU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Outsourced Programme Management-Attracting Global Entrepreneurs,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",GRANT THORNTON UK LLP,77191,170660.40,,NW1 2EP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Printing-Education UK,Trade Group - UKTI Education,STERLING PRESS LTD,77192,1694.00,,NN15 6XU,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Recruitment Consultancy Costs-UKTI Programme Admin,Chief Operating Officer - Strategy & Human Resources,GATENBY SANDERSON LTD,77193,8975.00,,LS1 2HL,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Mobile Line Rental-UKTI Programme Admin,Chief Operating Officer - IT and Finance,VODAFONE LTD,77197,0.46,,RG14 5FF,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Other Professional Services-Trade Development External Advisers (Autumn Statement),Trade Group - Operations Directorate,PA CONSULTING GROUP LTD,77199,15750.00,,SG8 6DP,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Outsourced Programme Management-Attracting Global Entrepreneurs,"Investment Development - Entrepreneurship, Campaigns and Rapid Innovation",GRANT THORNTON UK LLP,77205,9096.00,,NN4 7YE,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,YORKSHIRE SCULPTURE PARK,77207,486.98,,WF4 4LG,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Intercompany Receivables (Financial Accounts SYSTEM)-Default,Chief Operating Officer - IT and Finance,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,77208," 92,223.32 ",,SW1H 0ET,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,26/01/2015,Intercompany Receivables (Financial Accounts SYSTEM)-Default,Chief Operating Officer - IT and Finance,DEPARTMENT FOR BUSINESS INNOVATION & SKILLS,77209," 7,010,616.60 ",,SW1H 0ET,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77213,1202.04,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77214,1520.64,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77215,1293.75,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77216,496.80,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,20/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77217,2732.45,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Hire of Agency Staff-Great Campaign Events,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77218,1086.78,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77223,1797.60,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,22/01/2015,Hire of Agency Staff-UKTI Corporate Marketing,Marketing & Communications - Communications,CAPITA RESOURCING LTD,77228,1797.60,,DL1 PHN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,IT Services-UKTI Programme Admin,Chief Operating Officer - IT and Finance,READING ROOM LONDON LTD,77246,8400.00,,WC1V 6AY,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Catering Services-Support to Campaigns,Defence and Security Organisation - Regional Directorates,HMS PRESIDENT WARDROOM,77247,112.00,,E1W 1UQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/01/2015,Other Media Costs-Investment - Enablers (Autumn Statement),Investment Development - Strategic Relationship Management,BLOOMBERG FINANCE LP,77249,604.18,,EC2A 1PQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,23/01/2015,Other Media Costs-Investment - Enablers (Autumn Statement),Investment Development - Strategic Relationship Management,BLOOMBERG FINANCE LP,77249,3625.06,,EC2A 1PQ,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,RICHARD LANGUAGE COLLEGE LTD,77257,690.00,,BH3 7AB,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,FATSOMA LTD,77258,3000.00,,M1 1FN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ENERGY INNOVATION CENTRE LTD,77259,893.75,,CH65 3EN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,REM UK LTD,77260,1378.54,,BB9 8AW,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ALULINE LTD,77261,468.60,,WA7 1PF,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,TEXNTRADE UK LTD,77262,340.00,,SK9 4DG,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,MPLG LTD,77263,783.33,,M3 7AX,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,DECORATIVE BRANCHES,77264,1274.51,,NE70 7DT,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CCD DESIGN & ERGONOMICS LTD,77265,1237.07,,N1 9BN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,SPACE SYNTAX LTD,77266,1899.47,,WC1N 2LG,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,21/01/2015,Other Staff Costs-Other Programme Costs,Trade Group - Service Delivery,CAPITA BUSINESS SERVICES LTD,77267,250.00,,DL1 9HN,VENDOR,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CCD DESIGN & ERGONOMICS LTD,77268,1057.61,,N1 9BN,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,TEATUM JONES,77269,506.50,,SE1 7DR,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,THE HEIRLOOM SAUCE COMPANY T/A GRAN LUCHITO,77270,713.06,,W3 GEQ,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,29/01/2015,Other Professional Services-Export Vouchers (Autumn Statement),Trade Group - Service Delivery,ILLUMINUM INCORPORATED LIMITED,77271,3000.00,,W1S 4NS,GRANT,,,Programme,,,,,,,,,,,,,,,,
UK Trade and Investment Programme,UK Trade and Investment Programme,27/01/2015,Other Professional Services-Gateway - Export Vouchers (Autumn Statement),Trade Group - Service Delivery,CENTRO CONSULTING LTD,77272,1426.52,,SK23 7SW,GRANT,,,Programme,,,,,,,,,,,,,,,,
