Dept family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Trans no.,Amount exc VAT
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,67.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,MILTON KEYNES PARTNERSHIP,R.S.P LTD,302370,67.8
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,EXECUTIVE OFFICE,DIRECT TAXIS,297790,69.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,EXECUTIVE OFFICE,GROSVENOR TRAVEL MANAGEMENT,302511,69.7
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH EAST,SHS LTD,298873,71.5
Communities and Local Government,Homes and Communities Agency,26/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH WEST,BALDWIN LANDSCAPING,299512,75
Communities and Local Government,Homes and Communities Agency,05/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,300940,80.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,80.2
Communities and Local Government,Homes and Communities Agency,31/08/2010,STAFF WELFARE,FINANCE & CORPORATE SERVICES,MARS DRINKS,47222,80.29
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,DIRECT TAXIS,297790,82.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,EXECUTIVE OFFICE,R.S.P LTD,299985,82.7
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,84
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,PLACE MAKING,GROSVENOR TRAVEL MANAGEMENT,302511,86.2
Communities and Local Government,Homes and Communities Agency,19/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,GROWTH & AFFORDABILITY,R.S.P LTD,300396,86.5
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH EAST,SHS LTD,298871,88
Communities and Local Government,Homes and Communities Agency,05/08/2010,GROUNDS MAINTENANCE GENERAL,NORTH EAST,SHS LTD,298871,88
Communities and Local Government,Homes and Communities Agency,05/08/2010,LAND MAINT-AWAITING DEV/ DISP,NORTH EAST,SHS LTD,298871,88
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,88.33
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,95.5
Communities and Local Government,Homes and Communities Agency,12/08/2010,BUILDINGS-WATER,NORTH EAST,NORTHUMBRIAN WATER,300108,97.33
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,CONTINENTAL LANDSCAPES - GREENHAND,302186,98
Communities and Local Government,Homes and Communities Agency,19/08/2010,ENGINEERING CONSULTANTS,PLACE MAKING,ATKINS LTD,298727,99.69
Communities and Local Government,Homes and Communities Agency,19/08/2010,LANDSCAPE ARCHITECT FEES,PLACE MAKING,TEP-THE ENVIRONMENT PARTNERSHIP,302162,100.8
Communities and Local Government,Homes and Communities Agency,31/08/2010,PRINTING & STATIONERY,FINANCE & CORPORATE SERVICES,OFFICE TEAM (OYEZ STRAKER),46839,101.4
Communities and Local Government,Homes and Communities Agency,05/08/2010,OTHER TRAVEL - EXCL AIR TRAVEL,SOUTH WEST,R.S.P LTD,300708,-102.5
Communities and Local Government,Homes and Communities Agency,19/08/2010,GROUNDS MAINTENANCE GENERAL,PLACE MAKING,CONTINENTAL LANDSCAPES - GREENHAND,302186,103
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,103.41
Communities and Local Government,Homes and Communities Agency,05/08/2010,VIDEO CONFERENCING,FINANCE & CORPORATE SERVICES,BRITISH TELECOM,300410,103.41
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,103.83
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,103.83
Communities and Local Government,Homes and Communities Agency,26/08/2010,BUILDING REPAIR,FINANCE & CORPORATE SERVICES,G. B. COOMBS,302904,103.83
